Timestamp,Type,Symbol,Action,Price,Volume,StopLoss,TakeProfit,Comment
2025-03-01 10:22:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:23:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:24:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:25:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:26:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:27:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:28:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:29:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:30:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:31:20,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
2025-03-01 10:43:03,STATUS,,,,,,,"Balance: 79997.56, Equity: 79997.56, Open positions: 0"
